Language,Word,Expert1_Tags,Expert2_Tags,Expert3_Tags,Expert4_Tags,gold standard tags
ar,ابتسامة,"E4.1, E1","E4.1, E4.2","E4.1, E4.2","E4.1, E1","[E4.1, E1]"
ar,ابن,"S2.2, S4","S4, S2.2","S2.2, S4","S2.2, S4","[S4, S2.2]"
ar,اجتماع,"S5, A1.6, S1.1.1","S3.1, A1.6, S1.1.1",T1.3,"X5.2, A1.6, B1","[X5.2, A1.6, B1]"
ar,اجنبي,"A6.2, A4.1","A6.2, A4.1","A6.2, A4.1","A6.2, A4.1","[A6.2, A4.1]"
ar,اجهاد,"A1.1.2, N5.2","A1.1.2, N5.2, G2.1",A1.1.2,"N5.2, A1.1.2","[N5.2, G2.1, A1.1.2]"
ar,اختصاص,"S5, A4.1","S5, A4.1","A4.1, A14","S5, A4.1","[A4.1, S5, S2]"
ar,اختفى,"A14, A4.2","A4.2, A14",A8,"A14, A4.2","[A4.2, A14]"
ar,اخيرا,"T2, N5.1","N5.1, T2","T2, N5.1",N5.1,"[T2, N5.1]"
ar,ادنى,"M6, A6","M6, A6","A6, M6","M6, A6","[M6, A6]"
ar,ارنب,L2,L2,L2,L2,[L2]
ar,استيقظ,"A10, B1",A10,"Z84, B1",A10,[A10]
ar,اسف,"S1.2.4, E4","E4, E1","E4, E1","E1, E3","[E1, E4]"
ar,اسقفية ,"S9, M7","S9, M7","S9, M7","S9, H1, M7","[S9, M7]"
ar,اسم,Q2.2,A1.1.1,"A1.1.1, Z1, Z2, Z3",A1.1.1,"[B1, A1.1.1]"
ar,اشجار,L3,L3,L3,L3,"[Z1, Z3]"
ar,اغنية,"K2, K3","K2, K3","K2, K3","K2, K3","[K2, K3]"
ar,اقترب,"M1, N3.3, M6",M1,T2,M1,"[L3, W5]"
ar,الاول,"N3.3, N2, T2","N4, N3.3, M1","T4, N3.3","N4, N1","[M1, N3.3]"
ar,الخلاص,"S9, S8","S9, S8","S9, S8",S9,[N1]
ar,الرابع,"N4, N1, N2","N4, X9.2","X9.2, T4","N4, N1","[A15, X9.2]"
ar,الفروسية,S7.1,S7.1,K5.1,S7.1,[N1]
ar,"المساءلة","S7.1, G3, E5, G2.2","E5, G3, G2.2","X6, X4.1, G2.2","E5, G3","[E5, G2.2, G3]"
ar,"الهدوء","E3, E4.2","E4.1, E3",E3,"E3, E4.1","[S7.1, S7, A5.1]"
ar,امراة,S2.1,S2.1,S2.1,S2.1,[S2.1]
ar,امريكا,Z2,"Z2, M7",Z2,"Z2, M7","[Z1, Z2]"
ar,املس,"O4.5, X3.3",O4.5,"X3.3, O4.5","O4.5, X3.3","[O4.5, X3.3]"
ar,امن,"A15, E6","A15, E6","A15, E6","A15, E6","[A15, E6]"
ar,انتهك,E3,"E6, E3, E1","E3, E6",E3,"[E6, S1.2.1, S1.2.4]"
ar,انتهى,"T2, N5.1","T2, N5.1","N5.1, T2","N5.1, T2","[T2, N5.1]"
ar,ايجابي,A5.1,A5.1,"A5.1, X2.6",A5.1,[A5.1]
ar,باخلاص,"S6, G2.2, S1.2","S1.2, G2.2, A1","G2.2, X8","G2.2, S1.2","[S1.2, G2.2, A1]"
ar,بارد,"O4.6, W4, X3.3","X3.3, W4, O4.6","X3.3, O4.6, W4","O4.6, W4","[O4.6, W4, X3.3]"
ar,بالرقة,"A12, S1.2","A12, S1.2","S1.2, A12","A12, S1.2","[A12, S1.2]"
ar,برد,"W4, O4.6, X3.3","W4, O4.6, X3.3","W4, O4.6, X3.3","O4.6, W4, X3.3","[X3.3, O4.6, W4]"
ar,بشع,"O4.2, A5.1","O4.2, A5.1","O4.2, A5.1","O4.2, A5.1","[O4.2, A5.1]"
ar,بشكل-رائع,"A5.1, X5.2","A5.1, X5.2",A5.1,"X5.2, A5.1","[X5.2, A5.1]"
ar,بشكل-متزايد,"N5, N6","N6, A11.2, N5","N6, N5","N6, N5","[N5, N6, A11.2]"
ar,بعوضة,L2,L2,L2,L2,[L2]
ar,بعيد,N3.3,N3.3,N3.3,N3.3,[N3.3]
ar,بلد,"W3, M7","M7, W3","M7, W3","W3, M7","[M7, W3]"
ar,بنك,"H1, M7, I1","I1, H1, M7, A4.1","M7, H1","I1, H1, M7","[M7, A4.1, I1, H1]"
ar,تاريخ,T1.1.1,T1.1.1,T1.1.1,T1.1.1,[T1.1.1]
ar,تاليف,Q1.2,"Q1.2, A4.1, O4.1","Q1.2, A4.1",Q1.2,"[O4.1, Q1.2, A4.1]"
ar,تحدي,"S7.3, G3","S7.3, G3","S7.3, A12","S7.3, G3","[S7.3, G3]"
ar,تعليم,"P1, X2.3, X2.2","P1, X2.3, X2.2","P1, X2.3","P1, X2.3, X2.2","[P1, X2.3, X2.2]"
ar,تغميس,F1,"F1, A1.5.1",F1,"F1, A1.5.1","[A1.5.1, F1]"
ar,تقايض,S1.1.2,"S1.1.2, I2","S1.1.2, I2.2","S1.1.2, I2","[S1.1.2, I2]"
ar,تماما,"N5.1, A13.2","N5.1, A13.2","N5.1, A13.2","N5.1, A13.2","[N5.1, A13.2]"
ar,تنظيف,"B4, A1.1.1","B4, A1.1.1","B4, A1.1.1","B4, A1.1.1","[B4, A1.1.1, W5]"
ar,ثابت,"O4, E3, N6","E3, O4, N6","M8, N6, O4","E3, N6, O4","[M8, E3, O4, N6]"
en,accountability,"S7.1, A7","G2.1, P1","S7.1, S6",N/A,"[S7.1, A7]"
en,align,"M2, S5, A6.1, Z84","N3.1, N4, A6.1, A2.2, S5, A1.8","S5, M2, A6.1",N/A,"[M2, S5, A6.1, A2.1]"
en,apt,"A1.2, X2.2","A1.2, X9.1, A8","A1.2, A11.1",N/A,[A1.2]
en,book,"Q4.1, Z84, Q1.2, Q2.1, A9, K5.1, I1.1, G2.1","Q4.1, Q1.2, A9","Q1.2, Q4.1, G2.1, K5.1, A9",N/A,"[Q4.1, Q1.2, K5.1, I1]"
en,briefed,Q2.1,"T1.2, Q2.1, G2.1","Q2.1, G2.1, Q4.2",N/A,[Q2.1]
en,clear,"O4.3, A7, O4.1, N5.1, W4, M2, A10, I1.1, K5.1, B4","O4.1, O4.3, W4, X3.4, X3.2, M6, B4, N3.1, G2.1, M2","O4.1, A10, A7, W4, O4.3",N/A,"[A7, A10, O4.3, O4.1, N5.1, W4]"
en,consenting,"S7.4, Q2.2",S7.4,"S7.4, Q2.2",N/A,[S7.4]
en,dearth,"N5, F1","N5, N5.1",N5,N/A,[N5]
en,delicately,"A1.3, O4.2, O4.5","A1.3, S1.2.5, O4.1",A1.3,N/A,[A1.3]
en,educate,"P1, X2.2","P1, X2.3, X2.2",P1,N/A,[P1]
en,energising,X5.2,"X5.2, A1.1.1, O3","X5.2, S8",N/A,[S8]
en,first,N4,"N4, N1, T2, X9.2, P1","N4, X9.2, P1",N/A,[N4]
en,fourth,N4,"N4, N1","N4, X9.2",N/A,[N4]
en,funny,"E4.1, A6.2, B2","E4.1, A6.2","E4.1, A6.2, B2",N/A,"[E4.1, A6.2, A12, B2]"
en,gracious,"S1.2.4, O4.2, Z4","S1.2.4, E4.2, S1.2.1","S1.2.4, O4.2",N/A,"[S1.2.4, O4.2]"
en,impossible,"A12, A7","A12, S1.2.4","A12, A7",N/A,"[A7, A12]"
en,improve,"A5.1, A2.1","A5.1, A2.1","A5.1, A2.1",N/A,"[A5.1, A2.1]"
en,last,"N4, T1.3, T2","N4, T2, T1.3, X9.2","N4, T2, T1.3, X9.2",N/A,[N4]
en,latecomers,"T4, S2.2, S2.1","T4, S5","T4, S2.1, S2.2",N/A,"[T4, S2]"
en,look,"X3.4, A8, O4.1, X2.4, X7, Z4","X3.4, O4.1, X2.4, A8","X3.4, A8, O4.1, X2.4",N/A,"[A8, X3.4, X2.4, O4.1]"
en,mattered,A11.1,A11.1,A11.1,N/A,[A11.1]
en,mayhem,"E3, A1.7","A1.7, E3, G2.1, S7.1","E3, A1.7",N/A,"[E3, A1.7]"
en,modifying,A2.1,"A2.1, Q3, A13.7",A2.1,N/A,[A2.1]
en,mucky,"O4.2, S1.2.4","O4.2, S1.2.4, S3.2","O4.2, S1.2.4, A5.1",N/A,"[O4.2, S1.2.4]"
en,mug,"O2, B1, S1.2.6, E3","O2, S1.2.6, X9.1","O2, S1.2.6, B1",N/A,"[O2, B1, S1.2.6, S2]"
en,negative,"Z6, S8, A5.1","Z6, A5.1, S1.2.4, S7.4, N3.1","Z6, A5.1, Q3",N/A,"[Z6, S8, A5.1]"
en,old,"T3, Z4","T3, T1.1.1, T1.3","T3, T1.3",N/A,"[T3, Z4]"
en,over,"Z5, T2, N5.2, A13.2, K5.1, M6","M6, A13.2, T2","M6, T2, A13.2, N5.2, K5.1",N/A,[Z5]
en,person,S2,"S2, S5",S2,N/A,[S2]
en,plant,"L3, F4, I4, O2, M2, A10","L3, O2, H1, F4, X2.1, M2, A10","M2, F4, L3, I4, A10, S2.1, S2.2",N/A,"[L3, I4, H1, O2, A10, S2]"
en,possessed,"A9, S9, E1","A9, S9","A9, S9",N/A,"[A9, E1, S9%]"
en,rain,W4,"W4, N5.1",W4,N/A,[W4]
en,reproach,"Q2.2, G2.2","G2.2, Q2.2","Q2.2, G2.2",N/A,"[Q2.2, G2.2]"
en,retaliate,E3,"E3, S1.1.2",E3,N/A,[E3]
en,shower,"B4, W4, A9","W4, B4, N5.1","B4, W4, A5.1, S5, A9",N/A,"[B4, W4, S5, O4.2, S1.1.1%]"
en,sightly,"O4.2, A13.5","O4.2, X3.4",A13.6,N/A,[A13.5]
en,soft,"O4.5, O4.1, X3.2, O4.3, S1.2.5, A12","O4.1, O4.5, S1.2.5, X3.2, O4.3, A12","X3.2, O4.5, O4.1, S1.2.5, A5.1",N/A,"[O4.5, X3.2, O4.3, O4.1, S1.2.5, A12]"
en,son,S4,"S4, S2.2","S4, S2.2",N/A,[S4]
en,stink,X3.5,"X3.5, A5.1, E2","X3.5, A5.1",N/A,[X3.5]
en,stolen,"G2.1, A9","A9, G2.1, S7.4","G2.1, A9",N/A,"[G2.1, A9]"
en,thoroughly,"A13.2, A1.3","A13.2, A1.3","A13.2, A1.3",N/A,"[A13.2, A1.3]"
en,time-tested,"T1, X2.4","T1, T1.3, X2.4, A5.2","T1, X2.4",N/A,"[T1, X2.4]"
en,untidiness,O4.2,"O4.2, S7.1",O4.2,N/A,[O4.2]
en,value,"A11.1, I1.3, G2.2, A4.1, N1","A11.1, I1.3, N1, A4.1, G2.2","G2.2, N1, A11.1, A4.1, I1.3, A5.1",N/A,"[A11.1, I1.3, G2.2, A4.1, N1]"
en,wave,"W3, O4.4, Y1, M4, M1, M2, Q1.1, N5","Q1.1, O1.2, N5.1, M1, Y1, O4.4","Q1.1, W3, O4.4, M1, Y1",N/A,"[W3, M4, O4.4, Q1.1, Y1, N5]"
en,back,"M6, T1.1.1, B1, S8, S1.1.2, M1, K5.1","B1, T1.1.1, M6, M1, S8, S1.1.2, K5.1","S1.1.2, T1.1.1, M1, M6, N6, B1, K5.1",N/A,"[M6, T3]"
en,wheat,F1,"F1, L3","F1, F4",N/A,[F1]
en,wondrously,O4.2,A5.1,"O4.2, A5.1",N/A,[O4.2]
en,yawn,B1,"B1, X5.2",B1,N/A,[B1]
en,yet,"Z5, T1.1.2","T1.1.2, T4, T1.3, Z4, N6, A6.1","T1.1.2, Z5, A6.1",N/A,[Z5]
ur,آخری,"T2, N5.1","T2, N5.1","T2, Z84, A1.4","T2, N5.1","[T2, N5.1]"
ur,آدمی,S2.2,S2.2,S2.2,S2.2,[S2.2]
ur,آسان,A12,A12,A12,A12,[A12]
ur,آواز,"X3.2, K3, K2","X3.2, K3, K2","X3.2, K3, K2","X3.2, K3, K2","[X3.2, K3, K2]"
ur,آگ-کا-کیڑا,L2,L2,L2,L2,[L2]
ur,آہستہ,"N3.8, X9, T1.3","N3.8, X9, T1","N3.8, T1, M1","N3.8, X9, T1","[N3.8, X9, T1]"
ur,ابلیسیت,"S9, G2.2, A5.1","G2.2, S9, A1, A5.1","S9, A5.1, A1, G2.2","G2.2, S9, A5.1, A1","[G2.2, S9, A1, A5.1]"
ur,اجارہ-داری,"S7.1, S1.2.2","S1.2.2, S7.1, S5","S1.2.2, S7.1, S5","S1.2.2, S5, S7.1","[S1.2.2, S7.1, S5]"
ur,اجتماع,"S5, A4.1, S1.1.3, S2, S9","S9, A4.1, S5, S1.1.3, S2","A4.1, S5, S9, S1.1.3","S9, S5, S2, S1.1.3, A4.1","[S9, A4.1, S5, S1.1.3, S2]"
ur,اجنبی,"S5, S2","S5, S2, S1.1.1","S2, S5","S5, S1.1.1, S2","[S5, S2, S1.1.1]"
ur,احتساب,"S7, S7.1, A5.1","S7.1, S7, A5.1","S7.1, A5.1","S7.1, A5.1, S7","[S7.1, S7, A5.1]"
ur,استاد,"P1, I3.2, S2","P1, I3.2, S2","P1, I3.2, S2","P1, I3.2, S2","[P1, I3.2, S2]"
ur,افسوسناک,E4.1,E4.1,E4.1,E4.1,[E4.1]
ur,الزام-لگانا,"G2.2, Q2","Q2.2, Q2, G2.2, S1, S1.1","Q2, G2.2, S1.1","Q2, S1, G2.2, S1.1, Q2.2","[Q2, Q2.2, G2.2, S1, S1.1]"
ur,الگ-کرنا,"A1.1.1, A2.1","A1.1.1, A2.1, A2.2","A1.1.1, A2.1, A2.2","A1.1.1, A2.2, A2.1","[A1.1.1, A2.1, A2.2]"
ur,امریکہ,"W3, Z2, M7, Z3","W3, M7, Z2","W3, M7","W3, M7, Z2, Z3","[W3, M7]"
ur,امن,E3,E3,E3,E3,[E3]
ur,انقلابی,"E3, S1.1.1","E3, S1","E3, S1","E3, S1","[E3, S1]"
ur,انکاری,"Z6, S8","Z6, S8","Z6, S8","Z6, S8","[Z6, S8]"
ur,اول,N1,N1,N1,N1,[N1]
ur,ايجنسی,"I3.1, A4.1, S5, I2.1, G3, Q4, G2, M3, M5","I2.1, G3, A4.1, I3.1, Q4, S5, G1, G2, M3, M5","I2.1, G3, A4.1, I3.1, S5, G1, G2, M3, M4, M7","I2.1, A4.1, M3, M7, G1, G3, I3.1, S5, G2, M5","[I2.1, G3, A4.1, I3.1, Q4, S5, G1, G2, M3, M5, M7]"
ur,اُداس,E4.1,E4.1,E4.1,E4.1,[E4.1]
ur,اچھا,"A5.1, G2.2, O4.2","A5.1, G2.2, O4.2","A5.1, G2.2, O4.2","A5.1, G2.2, O4.2","[A5.1, G2.2, O4.2]"
ur,بارش,"W4, F4","W4, F4","W4, F4","W4, F4","[W4, F4]"
ur,بازار,"M7, I2, Z84","I2, M7","I2, M7","I2, M7","[I2, M7]"
ur,بالاخر,"N4, T2","N4, T2","N4, T2","N4, T2","[N4, T2]"
ur,بتانا,"Q2, Q2.1","Q2.1, Q2, Q2.2","Q2.1, Q2.2","Q2.1, Q2, Q2.2","[Q2.1, Q2, Q2.2]"
ur,بدبودار,"X3.5, A5.1","X3.5, A5.1","X3.5, A5.1","X3.5, A5.1","[X3.5, A5.1]"
ur,بدلنا,"A2.1, A9","A9, A2.1","A9, A2.1","A9, A2.1","[A9, A2.1]"
ur,برا,"Z6, A5.1","A5.1, Z6","A5.1, Z6","A5.1, Z6","[A5.1, Z6]"
ur,برکت,"S9, A9","S9, A9","S9, A9","S9, A9","[S9, A9]"
ur,بصارت,"X3.4, A8","X3.4, A8","X3.4, A8","X3.4, A8","[X3.4, A8]"
ur,بصیر,"S9, S2","S9, S2","S9, S2","S9, S2","[S9, S2]"
ur,بعید,N3.3,N3.3,N3.3,N3.3,[N3.3]
ur,بولنا,"Q1, Q2, Q2.1","Q1, Q2, Q2.1, E6","Q1, Q2, Q2.1, P1","Q1, E6, Q2.1, Q2","[Q1, Q2, Q2.1, E6]"
ur,بَہادُری,"E5, S7.1, G1.1, G3","S7.1, E5, G1.1, G3","S7.1, G3, E5, G1.1","S7.1, G1.1, E5, G3","[S7.1, E5, G1.1, G3]"
ur,بڑھانا,"A2.1, N3.2","A2.1, N3.2","A2.1, N3.2","A2.1, N3.2","[A2.1, N3.2]"
ur,بڑھتے-ہوئے,"N5, A13.3","A13.3, N5","A13.3, N5","A13.3, N5","[A13.3, N5]"
ur,بھوت,S9,"S9, A4.1","S9, A4.1","S9, A4.1","[S9, A4.1]"
ur,بیمار,B2,B2,B2,B2,[B2]
ur,بینک,"H1, M7, I3, I1","M7, I1, I3, H1, A4.1","M7, H1, I3, A4.1, I1","I1, M7, I3, H1, A4.1","[M7, I1, I3, H1, A4.1]"
ur,بیٹا,"S2.2, S4","S4, S2.2","S4, S2.2","S4, S2.2","[S4, S2.2]"
ur,بے-جنس,"S3.2, B1, B2","S3.2, B1, B2","S3.2, B2, B1","S3.2, B1, B2","[S3.2, B1, B2]"
ur,تا-حال,"T1, T1.1.2","T1, T1.1.2","T1, T1.1.2","T1, T1.1.2","[T1, T1.1.2]"
ur,تاريخ,T1.1.1,"T1.1.1, P1","T1.1.1, P1","T1.1.1, P1","[T1.1.1, P1]"
ur,ترمیم-کرنا,A2.1,A2.1,A2.1,A2.1,[A2.1]
ur,تصنیف,"Q1.2, Q4","Q1.2, Q4","Q1.2, Q4","Q1.2, Q4","[Q1.2, Q4]"
ur,تعليم,"P1, X2.2","P1, X2.3, X2.2","P1, X2.3, X2.2","P1, X2.2, X2.3","[P1, X2.3, X2.2]"
ur,تعلیم-دینا,"P1, X2.2, X2.3","P1, X2.3, X2.2","P1, X2.3, X2.2","P1, X2.3, X2.2","[P1, X2.3, X2.2]"
ur,توانائی,X5.2,X5.2,X5.2,X5.2,[X5.2]
ur,تھیلا,"O2, B5","B5, O2","B5, O2","O2, B5","[B5, O2]"
ur,تہہ,"N4, M6, H2","N4, M6, A1, H2","N4, A1, H2, M6","N4, A1, M6, H2","[N4, M6, A1, H2]"
ur,تیرنا,"M4, M1, K5.1","M1, M4, K5.1","M1, K5.1, M4","M1, M4, K5.1","[M1, M4, K5.1]"
ur,تیز,"N3.8, S1.2, O4.1","N3.8, S1.2, O4.1","N3.8, S1.2, O4.1","N3.8, O4.1, S1.2","[N3.8, O4.1, S1.2]"
ur,جاگ-اٹھنا,B1,"A1.1.1, B1","B1, A1.1.1","B1, A1.1.1","[B1, A1.1.1]"
ur,جرمانہ-دینا,I1.2,"I1.2, E3","E3, I1.2","E3, I1.2","[E3, I1.2]"
ur,جلانے-والا,"X3.3, W4, O4.6","O4.6, X3.3, W4","O4.6, X3.3, W4","O4.6, W4, X3.3","[O4.6, W4, X3.3]"
ur,جلد,"O4.1, B1","B1, O4.1","B1, O4.1","B1, O4.1","[B1, O4.1]"
ur,جلدی-کرنا,"N3.8, M1","M1, N3.8","N3.8, M1","N3.8, M1","[N3.8, M1]"
ur,جمائی-لینا,B1,"B1, S1.1.1","B1, S1.1.1","B1, S1.1.1","[B1, S1.1.1]"
ur,جوڑنا,"A2.2, S3","S3, A2.2, A1.1.1","S3, A2.2","S3, A2.2","[S3, A2.2]"
ur,جھگڑا,"E3, S8, S7.3","E3, A1.1.1, S7.3, S1.1.2, S8","S8, S7.3, E3, A1.1.1, S1.1.2","S8, A1.1.1, S7.3, E3","[S8, E3, S7.3, S1.1.2, A1.1.1]"
ur,حصہ,"S1.1.3, O2, N5.1","N5.1, Z84, S1.1.3","N5.1, S1.1.3, O2","N5.1, S1.1.3, O2","[N5.1, O2, S1.1.3]"
ur,حوالہ,"Q2.1, Q1","Q2.1, Q1","Q2.1, Q1","Q2.1, Q1","[Q2.1, Q1]"
ur,حیران-کن,"X5.2, A5.1",X5.2,"X5.2, A5.1","X5.2, A5.1","[X5.2, A5.1]"
ur,حیرت,"E6, X2.5","E6, X2.5","X2.5, E6","X2.5, E6","[X2.5, E6]"
ur,خاتمہ,"T2, N5.1","T2, N5.1","T2, N5.1","T2, N5.1","[T2, N5.1]"
ur,خبر,"X2.2, G1, Q4.3, Q4.2","Q4.2, Q4.3, X2.2, G1","X2.2, G1, Q4.3, Q4.2","X2.2, G1, Q4.2, Q4.3","[X2.2, Q4.2, Q4.3, G1]"
ur,خرگوش,L2,L2,L2,L2,[L2]
ur,خلاصہ,"A11, N3.7, T1.3, A12, A4.2","A11, A12, A4.2, N5, T1.3, N3.7","A11, A12, A4.2, T1.3, N5, N3.7","A11, N5, A4.2, N3.7, T1.3","[A11, A12, A4.2, N5, T1.3, N3.7]"
ur,خواب,"X2, X2.1, S9","X2, X2.1, X7, S9, A1","X2, A1, S9, X2.1, X7","X2, X2.1, X7, S9, A1","[X2, X2.1, X7, S9, A1]"
ur,خوش,"E4.1, E4.2","E4.1, E4","E4.1, E4","E4.1, E4","[E4.1, E4.2]"
ur,خوشگوار,"S1.2.4, O4.2, S1.2.1, S2, S1.2","S1.2.4, O4.2, S1.2, S2, S1.2.1","S1.2.4, S1.2, O4.2, S1.2.1, S2","S1.2.4, S2, S1.2.1, S1.2, O4.2","[S1.2.4, O4.2, S1.2, S2, S1.2.1]"
ur,درخت,"L3, W5, F1","L3, W5, F1","L3, W5, F1","L3, F1, W5","[L3, W5, F1]"
ur,دشمن,"S1.2.1, A4.1, G1.2, S2, S8","S1.2.1, S2, S8, A4.1, G1.2","S1.2.1, A4.1, S2, G1.2, S8","S1.2.1, A4.1, G1.2, S2, S8","[S1.2.1, S2, S8, A4.1, G1.2]"
ur,دور,"A13.3, N3.3","A13.3, N3.3","A13.3, N3.3","A13.3, N3.3","[A13.3, N3.3]"
ur,دکان,"I2.2, I2, I2.1, H1, M7","I2.2, I2, I2.1, M7, H1","I2.2, I2.1, I2, M7, H1","I2.2, H1, I2, I2.1, M7","[I2.2, I2, I2.1, M7, H1]"
ur,دکھانا,"O4.1, B1","O4.1, B1","O4.1, B1","O4.1, B1","[O4.1, B1]"
ur,دھات,O1.1,O1.1,O1.1,O1.1,[O1.1]
ur,رد-کرنا,"A5.2, S1","A5.2, S1","A5.2, S1","A5.2, S1","[A5.2, S1]"
ur,رشتہ,"S3, S3.1, S3.2, A2.2, S4","S3, S3.1, S3.2, A2.2, S4","S3, A2.2, S3.2, S4, S3.1","S3.1, A2.2, S4, S3.2, S3","[S3, S3.1, S3.2, A2.2, S4]"
ur,رُخصت-ہونا,"A1.1.1, A1.6, M1, T1","A1.1.1, A1.6, M1, T1","A1.1.1, A1.6, M1, T1","A1.1.1, A1.6, T1, M1","[A1.1.1, A1.6, M1, T1]"
ur,رکنا,"T1, M8, S8, A1.1.1","T1, S8, M8, A1.1.1","T1, M8, A1.1.1, S8","T1, S8, M8, A1.1.1","[T1, S8, M8, A1.1.1]"
ur,رینگنا,"M1, N3.8","M1, N3.8","M1, K6, N3.8","M1, N3.8, K6","[M1, K6, N3.8]"
ur,زیادہ-بوجھ-ڈالا,N5.2,N5.2,N5.2,N5.2,[N5.2]
ur,سائیکل-سوار,"K5.1, M3, S2","M3, K5.1, S2","K5.1, S2, M3","K5.1, M3, S2","[K5.1, S2, M3]"
ur,ساحل,"W3, M7","W3, M7","W3, M7","W3, M7","[W3, M7]"
ur,سازش,"G1.2, S1, G2.2, A10","G1.2, A10, G2.2, S1","G1.2, A10, S1, G2.2","G1.2, G2.2, A10, S1","[G1.2, A10, G2.2, S1]"
ur,ستارہ,"W1, O4.4, A5.1","W1, O4.4, A5.1","W1, A5.1, O4.4","W1, O4.4, A5.1","[W1, O4.4, A5.1]"
ur,سرد,"O4.6, X3.3, W4","O4.6, X3.3, W4","O4.6, W4, X3.3","O4.6, X3.3, W4","[O4.6, X3.3, O4.6, W4]"
ur,سستا,"I1.3, I2.2","I1.3, I2.2","I1.3, I2.2","I1.3, I2.2","[I1.3, I2.2]"
ur,سمندر,"N3.6, M7","N3.6, M7","N3.6, O4.4, M7","N3.6, M7, O4.4","[N3.6, O4.4, M7]"
ur,سنوارنا,"A5.1, A2.1","A2.1, A5.1","A2.1, A5.1","A2.1, A5.1","[A2.1, A5.1]"
ur,سنیما,"K4, H1, K1, Q4.3, M7","K4, Q4.3, H1, K1, M7","K4, K1, Q4.3, M7, H1","K4, K1, M7, H1, Q4.3","[K4, Q4.3, H1, M7, K1]"
ur,سکون,"E3, S1.2, E4.2","E3, E4.2, S1.2","E3, E4.2, S1.2","E3, E4.2, S1.2","[E3, E4.2, S1.2]"
ur,سیال,O1.2,O1.2,O1.2,O1.2,[O1.2]
ur,سیلاب,"W4, O1.2, M4","W4, M4, O1.2, A1.1.2","W4, O1.2, M4","W4, O1.2, Z84, M4","[W4, O1.2, M4]"
ur,شاگرد,"P1, S2","P1, S2","P1, S2","P1, S2","[P1, S2]"
